"","Year","LifeExpectancy","Alcohol","TotalExpenditure","HepatitisB","Measles","Polio","BMI","HIV/AIDS","GDP","Schooling","HDI_Income"
"752",2001,77,11.56,NA,11,52.8,97,9.1,0.1,3751.64946,0.862,16.2
"753",2000,76.9,11.69,NA,14,52.2,97,8.7,0.1,3743.55917,0.86,16.5
"754",2015,63.5,NA,84,47,35,84,NA,2.1,1862.167274,0.47,6.3
"755",2014,63,0.38,78,0,34.4,78,1.57,2.1,174.91511,0.467,6.3
"756",2013,62.7,0.53,82,28,33.8,82,9.14,2.1,1622.637974,0.464,6.3
"757",2012,62.2,0.52,81,709,33.2,81,8.95,1.9,1536.15685,0.46,6.3
"758",2011,61.8,0.39,87,49,32.7,87,8.71,2.7,143.986898,0.451,5.9
"759",2010,61.3,0.44,88,7,32.2,88,8.84,3.1,1325.99724,0.441,5.5
"760",2009,69,0.49,89,48,31.7,89,8.37,3.2,1253.657431,0.436,5.3
"761",2008,62,0.49,88,143,31.3,89,8.5,3.3,1214.77118,0.427,5
"762",2007,59.8,0.45,25,24,3.9,88,7.72,3.5,147.586896,0.416,4.5
"763",2006,59.1,1.02,NA,49,3.6,72,7.5,3.7,965.6693779,0.405,4.3
"764",2005,58.6,1.23,NA,298,3.2,71,7.21,3.9,94.7297489,0.396,4
"765",2004,58.1,1.18,NA,71,29.8,64,6.76,4,864.184726,0.388,3.7
"766",2003,58,1.02,NA,37,29.4,68,6.22,4.2,819.974118,0.378,3.5
"767",2002,57.9,1.03,NA,50,29,62,5.45,4.3,792.15412,0.372,3.3
"768",2001,57.7,0.95,NA,79,28.6,49,5.37,4.3,781.2322196,0.363,2.9
"769",2000,57.4,1.34,NA,183,28.2,46,5.75,4.1,768.176767,0.361,2.9
"770",2013,NA,0.01,96,0,58.4,96,5.58,0.1,722.75665,0.721,12.7
"771",2015,73.9,NA,81,0,58.9,87,NA,0.3,6468.471648,0.718,13.2
"772",2014,73.6,5.92,89,0,57.9,9,4.38,0.3,6268.692122,0.712,13.2
"773",2013,73.4,5.93,8,0,56.8,82,4.12,0.3,627.55544,0.709,13.2
"774",2012,72.1,5.93,74,0,55.8,85,4.26,0.4,5968.876767,0.706,13.1
"775",2011,73.1,5.91,8,2,54.7,84,4.22,0.7,5759.643,0.703,13
"776",2010,72.7,6.02,83,0,53.6,85,4.6,0.9,5451.6696,0.697,12.9
"777",2009,73.6,6.05,8,0,52.6,85,4.41,1.2,4952.67753,0.695,12.9
"778",2008,73.3,6.12,81,0,51.5,86,4.2,1.4,511.37937,0.692,12.8
"779",2007,72.9,6.05,81,0,5.4,86,4.34,1.6,4647.31359,0.685,12.7
"780",2006,72.3,6.2,84,0,49.3,88,4.34,1.8,3836.468771,0.677,12.6
"781",2005,69.7,5.71,87,0,48.2,86,4.26,2,3681.5993,0.668,12.6
"782",2004,69.3,5.16,82,0,47.2,66,4.28,2.1,2421.9662,0.666,12.5
"783",2003,73,6.32,79,0,46.1,65,5.53,2.3,2372.628827,0.665,12.4
"784",2002,71.4,6.43,63,0,45.1,74,5.79,2.4,38.46578,0.66,12.3
"785",2001,71.2,6.13,66,113,44.1,71,5.59,2.5,2862.154836,0.656,12.3
"786",2000,72,6.58,68,253,43.1,71,5.9,2.5,282.4242,0.651,12.2
"787",2015,76.2,NA,78,0,54.2,84,NA,0.1,625.62224,0.739,14
"788",2014,76,3.82,83,0,53.5,84,9.16,0.1,6432.216537,0.737,14
"789",2013,76,3.77,87,0,52.8,87,7.29,0.1,674.9829,0.725,13.4
"790",2012,75.5,3.92,88,72,52.1,85,6.48,0.1,572.14313,0.717,13.3
"791",2011,75.3,3.99,88,257,51.4,85,5.92,0.1,5223.351763,0.71,13.2
"792",2010,75,3.95,9,0,5.7,88,5.9,0.1,4657.32361,0.703,13.1
"793",2009,75.1,3.87,91,0,5,91,5.58,0.1,4255.56571,0.702,13.1
"794",2008,74.6,3.76,93,1,49.3,94,5.66,0.1,4274.95265,0.698,13
"795",2007,74.7,3.63,94,0,48.6,95,5.94,0.2,359.71886,0.696,12.9
"796",2006,74.4,3.52,96,0,47.9,92,5.86,0.3,335.786541,0.693,12.8
"797",2005,74.2,3.54,92,0,47.2,89,5.87,0.3,321.942547,0.688,12.8
"798",2004,74.4,3.65,88,0,46.5,9,6.22,0.3,278.557892,0.682,12.7
"799",2003,74.4,3.69,82,0,45.8,97,6.46,0.3,244.46898,0.679,12.6
"800",2002,73.6,3.88,75,0,45.1,88,4.62,0.3,2183.966796,0.675,12.5
"801",2001,73.4,4.13,69,2,44.3,9,3.86,0.3,193.741571,0.67,12.4
"802",2000,72.8,3.99,36,0,43.6,83,3.38,0.3,1451.29776,0.668,12.4
"803",2015,79,NA,93,5432,61.1,93,NA,0.1,NA,0.688,13.1
"804",2014,78,0.21,94,1314,6.2,94,5.64,0.1,NA,0.686,13.1
"805",2013,79,0.21,97,405,59.4,97,5.46,0.1,NA,0.681,12.8
"806",2012,72,0.23,93,245,58.6,93,5.29,0.1,NA,0.673,12.4
"807",2011,74,0.22,96,26,57.8,96,5.4,0.1,NA,0.671,12.4
"808",2010,70,0.22,97,16,57,97,4.8,0.1,NA,0.665,12.2
"809",2009,69.9,0.21,97,608,56.2,97,5.1,0.1,NA,0.659,12
"810",2008,69.8,0.24,97,668,55.5,97,4.82,0.1,NA,0.651,11.9
"811",2007,69.7,0.21,98,1684,54.8,98,4.95,0.1,NA,0.644,11.7
"812",2006,69.5,0.18,98,953,54.2,98,5.24,0.1,NA,0.636,11.5
"813",2005,69.4,0.16,98,77,53.5,98,5.6,0.1,NA,0.629,11.4
"814",2004,69,0.16,97,80,52.9,97,5.21,0.1,NA,0.623,11.2
"815",2003,68.6,0.15,98,164,52.3,98,5.41,0.1,NA,0.621,11.3
"816",2002,68.7,0.15,97,653,51.8,97,5.97,0.1,NA,0.617,11.2
"817",2001,68.6,0.14,99,2150,51.2,99,5.75,0.1,NA,0.612,11.1
"818",2000,68.8,0.14,98,2633,5.7,98,5.55,0.1,NA,0.606,11
"819",2015,73.5,NA,91,0,56.1,92,NA,0.2,4127.11775,0.678,13.2
"820",2014,73.3,2.52,93,0,55.4,93,6.77,0.2,3988.771871,0.676,13.2
"821",2013,73,2.42,92,0,54.7,92,6.95,0.2,3895.664491,0.675,13.2
"822",2012,73,2.48,92,0,54.1,93,6.7,0.3,3827.786267,0.67,13.2
"823",2011,72,2.37,89,0,53.4,9,6.81,0.3,3736.58713,0.666,13
"824",2010,72,2.36,89,0,52.8,89,6.91,0.3,3474.392445,0.662,12.9
"825",2009,71.4,2.55,91,0,52.1,91,6.83,0.3,3366.482133,0.662,12.8
"826",2008,71.7,2.68,98,0,51.4,98,6.21,0.3,357.347674,0.659,13.4
"827",2007,71.2,2.83,99,0,5.8,99,6.32,0.3,334.83817,0.657,12.9
"828",2006,75,2.77,96,0,5.1,96,6.68,0.2,362.951768,0.651,12.9
"829",2005,71,2.77,89,0,49.4,89,7.19,0.2,2835.281237,0.644,12.7
"830",2004,70,2.9,9,0,48.6,9,7.3,0.3,2632.79942,0.636,12.4
"831",2003,69.9,3.1,94,0,47.8,93,7.61,0.3,2519.737387,0.628,12
"832",2002,73,2.97,81,0,47,81,7.9,0.4,248.4125,0.621,11.8
"833",2001,68.9,2.88,75,2,46.2,94,8.2,0.4,2338.772244,0.615,11.6
"834",2000,69,2.79,99,0,45.3,98,8.17,0.4,2238.4116,0.607,11.3
"835",2015,58.2,NA,16,1250,24.5,17,NA,4.2,1347.31257,0.582,9.2
"836",2014,57.9,0.01,2,13,24,24,3.8,4.4,192.59733,0.582,9.2
"837",2013,57.4,10.72,NA,321,23.5,3,3.73,5.7,2246.9938,0.586,9.2
"838",2012,56.7,11.89,NA,1190,23,3,4,8.2,21557.6528,0.583,9.2
"839",2011,56.2,10.99,NA,0,22.6,39,3.29,7.7,21451.88617,0.58,9.2
"840",2010,56.1,9.93,NA,0,22.1,59,3.84,7.2,17136.44568,0.589,9.2
"841",2009,55.7,7.97,NA,78,21.7,57,5.32,7.3,1653.2937,0.59,9.1
"842",2008,55.4,8.34,NA,436,21.3,55,2.31,6.3,22742.38159,0.592,9.1
"843",2007,55,6.86,NA,5,2.9,54,2.25,5.9,15761.83913,0.587,9
"844",2006,54.8,7.28,NA,0,2.5,52,2.13,5.3,12732.2759,0.569,9
"845",2005,54.4,7.19,NA,0,2.2,5,1.63,4.9,185.63334,0.563,8.7
"846",2004,54.1,6.28,NA,38,19.8,48,2.4,4.4,685.34897,0.553,8.5
"847",2003,53.8,7.13,NA,18,19.5,46,2.23,3.6,3577.176197,0.554,8.4
"848",2002,53.5,6.01,NA,24,19.1,44,2.5,2.9,2711.17114,0.542,8.2
"849",2001,53.1,5.07,NA,1339,18.7,43,1.78,2.3,2283.87939,0.527,8
"850",2000,52.7,4.46,NA,0,18.3,41,2.73,1.9,172.68491,0,0
"851",2015,64.7,NA,95,198,18.6,95,NA,0.4,NA,0.418,5
"852",2014,64.4,0.01,94,127,18,94,3.34,0.4,NA,0.416,5
"853",2013,64,0.01,94,45,17.5,94,3.1,0.5,NA,0.414,5
"854",2012,63.6,0.01,94,194,17,94,2.98,0.6,NA,0.41,5
"855",2011,62.9,0.62,96,48,16.5,96,3.6,0.7,582.775532,0.405,5
"856",2010,62.1,0.61,9,51,16,9,3.24,0.9,482.14994,0.404,5.1
"857",2009,61.4,0.63,92,82,15.5,92,3.3,1,43.7544499,0.402,5.2
"858",2008,67,0.49,94,0,15.1,94,3.69,1.1,326.825642,0.406,5.2
"859",2007,62,1.23,91,55,14.7,91,3.29,1.3,317.3294336,0.405,5.3
"860",2006,59.7,0.97,94,128,14.3,94,3.3,1.4,297.828588,0.405,5.3
"861",2005,59.4,1.07,96,19,13.9,96,2.97,1.6,276.75896,0,5.4
"862",2004,59.1,0.64,84,24,13.6,98,3.14,1.8,287.4222243,0,5
"863",2003,58.8,0.56,91,376,13.3,95,3.5,1.9,232.7945459,0,4.7
"864",2002,58.5,0.83,86,460,13.1,92,4.2,1.9,21.7687981,0,4.4
"865",2001,58.1,0.61,NA,204,12.8,89,3.95,2,215.139213,0,4.3
"866",2000,45.3,0.83,NA,789,12.6,82,4.43,1.9,28.1969487,0,3.9
"867",2015,77.6,NA,91,4,59.9,93,NA,0.1,1774.9291,0.863,16.5
"868",2014,77.3,0.01,93,0,59.4,93,6.38,0.1,19941.45532,0.86,16.5
"869",2013,76.9,0.01,93,2,59,94,6.48,0.1,1929.7746,0.856,16.5
"870",2012,76.3,0.01,94,4,58.5,94,6.36,0.1,17421.8922,0.85,16.5
"871",2011,76.1,0.01,94,7,58,93,5.83,0.1,17454.84342,0.838,16.4
"872",2010,75.6,14.97,94,0,57.6,94,6.25,0.1,14638.6482,0.833,16.2
"873",2009,74.9,15.04,95,0,57.1,95,6.93,0.1,14726.31828,0.836,16.1
"874",2008,74.2,16.99,94,0,56.7,95,6.6,0.1,1894.5485,0.835,16.1
"875",2007,73,17.87,95,1,56.3,95,5.16,0.1,16586.452,0.829,16.1
"876",2006,73,16.58,95,27,55.9,95,5.1,0.1,12595.4165,0.822,16.1
"877",2005,72.8,15.52,95,2,55.5,96,5.2,0.1,1338.31322,0.812,15.9
"878",2004,72.3,15.07,9,0,55.2,95,5.13,0.1,885.465115,0.805,15.7
"879",2003,71.9,11.64,NA,0,54.9,95,4.92,0.1,7174.237415,0.798,15.6
"880",2002,71.2,11.48,NA,0,54.6,94,4.84,0.1,538.347781,0.791,15.4
"881",2001,78,0.01,NA,0,54.3,94,4.85,0.1,4498.95727,0.781,15
"882",2000,78,0.01,NA,9,54,93,5.28,0.1,47.32827,0.764,14.4
"883",2015,64.8,NA,77,17745,17.6,75,NA,0.6,645.4637627,0.441,8.4
"884",2014,64.2,0.01,77,12739,17.2,75,4.88,0.6,571.1622759,0.435,8.4
"885",2013,63.7,1.86,72,5253,16.8,7,5.19,0.9,52.1535887,0.427,8.4
"886",2012,63.3,1.84,69,4347,16.4,7,5.77,1.2,468.567249,0.422,8.4
"887",2011,62.6,1.32,65,3255,16,7,6.55,1.4,354.8463544,0.411,8.2
"888",2010,61.8,1.34,62,4235,15.6,69,6.86,1.7,341.39992,0.401,8.1
"889",2009,68,1.17,56,1176,15.3,65,4.41,2,379.7566385,0.393,8.1
"890",2008,59.8,1.13,52,3511,14.9,63,4.28,2.4,325.3825543,0.378,7.6
"891",2007,58.5,1.06,47,1446,14.5,61,4.69,2.8,243.326822,0.362,7.1
"892",2006,57.2,1.22,NA,1451,14.2,59,4.47,3.3,193.794956,0.346,6.6
"893",2005,56,0.99,NA,357,13.8,56,4.2,3.7,161.6266248,0.325,5.8
"894",2004,55,0.86,NA,73,13.5,54,4.23,4.1,135.7623858,0.31,5.4
"895",2003,54,0.79,NA,228,13.2,55,4.64,4.4,118.8734466,0.306,5.2
"896",2002,53.2,0.8,NA,3332,12.9,55,4.73,4.6,111.3634356,0.298,4.9
"897",2001,52.5,0.85,NA,2366,12.6,55,4.26,4.9,12.1789279,0.283,4.3
"898",2000,51.2,0.88,NA,1660,12.3,55,4.36,5,123.876257,0,3.9
"899",2015,69.9,NA,99,0,62.7,99,NA,0.1,4921.89629,0.734,15.3
"900",2014,69.7,0.01,99,0,61.9,99,4.49,0.1,546.3728,0.727,15.2
"901",2013,69.6,0.01,99,0,61.1,99,4.26,0.1,4763.68956,0.719,15
"902",2012,69.4,0.01,99,0,6.2,99,4.16,0.1,4546.73854,0.714,14.9
"903",2011,69.2,0.01,99,0,59.5,99,4.6,0.1,4353.121392,0.709,14.7
"904",2010,69.1,2.25,99,0,58.7,99,4.23,0.1,3651.966784,0.706,14.6
"905",2009,68.9,2.31,99,1,58,99,4.26,0.1,3369.48247,0.704,14.5
"906",2008,68.7,1.95,99,0,57.3,99,3.68,0.1,4177.657789,0.7,14.3
"907",2007,68.6,2.09,99,0,56.6,99,3.74,0.1,478.82327,0.698,14.2
"908",2006,68.5,2.06,99,136,55.9,98,3.84,0.1,3749.939813,0.695,14
"909",2005,68.3,2.02,99,0,55.1,97,3.61,0.1,3658.63832,0.699,13.9
"910",2004,68.1,1.63,99,37,54.2,96,3.61,0.1,3332.918533,0.691,13.4
"911",2003,68,1.76,99,305,53.2,95,3.35,0.1,2835.973972,0.689,13.3
"912",2002,67.9,1.85,99,304,52.2,94,3.48,0.1,2259.55796,0.687,13.3
"913",2001,67.8,1.93,98,17,51.2,92,3.28,0.1,238.891729,0.683,13.2
"914",2000,67.7,2.05,98,0,5.2,91,3.87,0.1,276.1338,0.681,13.1
"915",2015,81.1,NA,NA,2,62.1,97,NA,0.1,4245.39744,0.893,17
"916",2014,89,8.8,NA,0,61.7,98,9.68,0.1,49914.61864,0.89,17
"917",2013,87,8.97,NA,2,61.4,98,9.55,0.1,49638.7713,0.887,17
"918",2012,84,9.24,NA,0,61,99,9.3,0.1,47415.55987,0.884,17
"919",2011,83,9.81,NA,27,6.6,99,9.1,0.1,579.72415,0.878,16.9
"920",2010,79.9,9.72,NA,5,6.2,99,9.5,0.1,4622.41516,0.874,16.8
"921",2009,79.7,9.96,NA,2,59.8,99,9.2,0.1,4717.15571,0.878,17
"922",2008,79.6,10.26,NA,5,59.4,97,8.35,0.1,5341.31487,0.876,17.1
"923",2007,79.3,10.45,NA,0,59,97,8.9,0.1,48288.5491,0.873,17.2
"924",2006,79.2,10.15,NA,0,58.6,97,8.38,0.1,4112.67651,0.869,17.2
"925",2005,78.9,9.95,NA,1,58.1,97,8.43,0.1,38969.17163,0.864,17.1
"926",2004,78.7,9.89,NA,0,57.6,96,8.21,0.1,37636.11173,0.869,18.3
"927",2003,78.4,9.31,NA,0,57.1,96,8.15,0.1,32816.1688,0.866,18.1
"928",2002,78.1,9.25,NA,0,56.6,95,7.81,0.1,26834.2625,0.863,18
"929",2001,78,8.94,NA,1,56.1,95,7.43,0.1,24913.24452,0.856,17.7
"930",2000,77.5,8.59,NA,0,55.5,96,7.22,0.1,24253.2542,0.847,17.3
"931",2015,82.4,NA,86,157,62.5,98,NA,0.1,36526.7711,0.894,16.3
"932",2014,82.2,11.5,83,267,62,98,11.54,0.1,42955.24287,0.89,16.2
"933",2013,82,11.1,74,272,61.6,99,11.56,0.1,42554.1225,0.887,16.2
"934",2012,81.5,11.5,78,0,61.1,99,11.44,0.1,4838.2444,0.885,16.1
"935",2011,81.7,11.8,74,14949,6.6,99,11.33,0.1,4381.288,0.882,16.1
"936",2010,81.3,11.7,65,5048,6.1,99,11.2,0.1,473.34279,0.879,16
"937",2009,81.1,11.8,51,1541,59.6,98,11.28,0.1,41631.13141,0.879,16
"938",2008,89,11.9,47,604,59.1,98,1.57,0.1,45413.6571,0.877,16.1
"939",2007,89,12.2,42,39,58.6,99,1.45,0.1,416.58397,0.873,16.1
"940",2006,86,12.4,39,40,58,99,1.53,0.1,36544.5853,0.87,16.1
"941",2005,81,12.2,35,36,57.5,98,1.6,0.1,34879.72633,0.86,15.5
"942",2004,82,13.18,35,4448,57,99,1.53,0.1,33874.74255,0.857,15.5
"943",2003,79.3,13.49,28,0,56.4,96,1.43,0.1,29691.18158,0.852,15.4
"944",2002,79.2,13.78,29,5185,55.8,97,1.22,0.1,24275.2426,0.851,15.5
"945",2001,79,13.89,28,0,55.2,98,9.89,0.1,22527.31775,0.849,15.6
"946",2000,78.8,13.63,26,10000,54.6,98,9.77,0.1,22465.64184,0.844,15.7
"947",2015,66,NA,8,27,36.3,79,NA,2.7,7388.984144,0.694,12.6
"948",2014,65.5,0.01,7,33,35.8,68,3.44,2.8,9692.163874,0.687,12.6
"949",2013,64.6,8.86,79,122,35.2,77,3.98,3.7,9679.742995,0.678,12.5
"950",2012,63.5,8.3,82,2,34.6,8,3.13,4.9,9774.18117,0.669,12.5
"951",2011,62.8,8.9,75,2,34.1,75,3.12,6,1716.2258,0.664,12.5
"952",2010,62.3,8.85,67,1,33.5,68,3.41,7,8754.113376,0.66,12.5
"953",2009,61.7,8.64,79,0,33,74,3.43,8,763.66223,0.652,12.4
"954",2008,61.6,8.75,82,3,32.4,81,2.54,8.9,194.2746,0.651,12.4
"955",2007,61.6,9.02,75,0,31.9,78,2.86,10,8352.81711,0.645,12.4
"956",2006,61.4,8.01,52,90,31.4,44,2.88,10.7,727.777345,0.646,12.4
"957",2005,65,7.72,28,0,3.8,44,2.76,10.9,6741.293948,0.64,12.4
"958",2004,59.7,8.13,NA,63,3.3,44,3.26,11.1,5685.577736,0.64,12.3
"959",2003,59.7,6.47,NA,0,29.8,44,3.48,11,4892.11618,0.638,12.3
"960",2002,59.7,8.34,NA,110,29.2,44,3.22,10.7,412.55271,0.636,12.3
"961",2001,59.8,9.29,NA,5129,28.7,44,3.23,10.1,3976.14887,0.633,12.3
"962",2000,61,8.87,NA,15,28.1,44,2.89,9.5,4116.46693,0.637,12.2
"963",2015,61.1,NA,97,71,27.3,96,NA,1.7,NA,0.45,8.9
"964",2014,68,0.01,96,1,26.7,97,7.34,1.7,NA,0.449,8.9
"965",2013,66,0.01,97,0,26,96,6.49,1.6,NA,0.445,8.9
"966",2012,62,0.01,98,0,25.4,98,6.12,1.4,NA,0.44,8.8
"967",2011,59.8,3.41,96,0,24.8,95,6.24,1.8,NA,0.441,8.7
"968",2010,59.3,3.48,97,2,24.1,97,5.75,2.1,NA,0.439,8.8
"969",2009,59,2.99,97,0,23.5,97,5.85,2.7,NA,0.434,8.9
"970",2008,58.7,2.79,98,0,22.8,96,5.95,3,NA,0.426,8.6
"971",2007,58.5,2.64,97,0,22.2,94,5.76,3.1,NA,0.42,8.4
"972",2006,58.2,2.93,95,0,21.5,94,5.52,3,NA,0.415,8.1
"973",2005,57.7,2.26,95,0,2.9,94,4.97,3,NA,0.412,7.8
"974",2004,57.3,2.51,95,0,2.3,88,4.35,2.9,NA,0.404,7.6
"975",2003,57,2.47,94,119,19.7,87,4.22,2.7,NA,0.395,7.3
"976",2002,56.6,2.08,92,32,19.1,86,3.75,2.5,NA,0.392,7
"977",2001,56.3,2.25,91,99,18.5,85,3.71,2.3,NA,0.384,6.8
"978",2000,55.9,2.18,91,336,18,84,3.61,2,NA,0.377,6.5
"979",2015,74.4,NA,94,431,56.2,91,NA,0.1,3764.64912,0.768,13.9
"980",2014,74.5,6.13,91,3188,55.3,91,7.42,0.1,4429.6575,0.759,13.5
"981",2013,74.5,5.91,96,7872,54.4,94,7.25,0.1,4274.376857,0.755,13.5
"982",2012,74.2,7.71,92,31,53.6,93,8.57,0.1,4142.869175,0.749,13.4
"983",2011,73.9,8.14,89,64,52.8,88,9.38,0.1,3725.63221,0.742,13.3
"984",2010,73.8,7.24,95,22,52,88,1.5,0.1,2964.47734,0.738,13.3
"985",2009,73.2,6.66,54,23,51.3,93,1.19,0.1,276.588512,0.734,12.8
"986",2008,73.9,7.17,89,56,5.5,9,8.99,0.1,3174.9491,0.735,13.1
"987",2007,74.4,8.65,94,44,49.9,88,8.17,0.1,2492.12878,0.722,12.5
"988",2006,73.9,6.18,84,334,49.2,89,8.39,0.1,1872.68416,0.714,12.6
"989",2005,73.9,4.7,79,1356,48.6,82,8.6,0.1,153.57521,0.703,12.2
"990",2004,72.3,3.74,64,6847,48.1,66,8.53,0.1,127.367228,0.694,12
"991",2003,72.7,3.36,48,216,47.5,74,8.49,0.1,928.18227,0.684,11.8
"992",2002,71.7,2.72,51,199,47,89,8.72,0.1,779.3845935,0.677,11.8
"993",2001,73,2.76,61,35,46.5,83,7.82,0.1,733.974142,0.673,11.7
"994",2000,71.8,3.28,55,50,46,81,6.94,0.1,691.997711,0,11.4
"995",2015,81,NA,88,2464,62.3,94,NA,0.1,41176.88158,0.924,17.1
"996",2014,89,11.03,88,443,61.9,94,11.3,0.1,4792.65288,0.92,17
"997",2013,86,10.94,88,1771,61.4,94,11.16,0.1,4653.91143,0.919,16.9
"998",2012,86,11.18,88,166,6.9,94,1.99,0.1,4465.24891,0.916,16.9
"999",2011,85,11.2,88,1607,6.4,94,1.93,0.1,4681.32796,0.912,16.8
"1000",2010,81,11.2,88,780,59.9,94,11.25,0.1,41785.55691,0.907,16.7
"1001",2009,80,11.22,88,574,59.5,95,11.4,0.1,41732.7725,0.906,16.7
"1002",2008,79.9,11.36,87,917,59,95,1.39,0.1,45699.19832,0.903,16.6
"1003",2007,79.8,11.5,86,567,58.5,95,1.18,0.1,41814.8191,0.898,16.6
"1004",2006,79.6,11.76,87,2307,58,94,1.34,0.1,36447.87232,0.892,16.5
"1005",2005,79.2,11.67,9,778,57.6,95,1.52,0.1,34696.6292,0.884,16.4
"1006",2004,79.1,11.83,88,121,57.1,96,1.37,0.1,34165.9343,0.877,16.4
"1007",2003,78.5,11.92,9,779,56.6,96,1.62,0.1,3359.95215,0.872,16.3
"1008",2002,78.4,12.25,87,4657,56.1,97,1.4,0.1,2525.16445,0.867,16.3
"1009",2001,78.3,12.46,86,6024,55.6,96,1.15,0.1,23687.31689,0.86,16.2
"1010",2000,78,12.91,84,0,55.1,94,1.1,0.1,23718.7467,0.855,16.2
"1011",2015,62.4,NA,88,23,28.6,88,NA,0.7,1361.11395,0.575,11.4
"1012",2014,62.1,0.01,98,124,28,93,3.56,0.8,1432.227943,0.576,11.7
"1013",2013,61.9,0.01,9,319,27.3,91,4.63,0.9,1814.492297,0.57,11.5
"1014",2012,61.6,0.01,92,1613,26.7,91,4.79,0.9,1629.8222,0.563,11.2
"1015",2011,61.2,1.64,91,120,26.1,91,4.81,1.3,1574.978653,0.554,10.9
"1016",2010,69,1.69,94,641,25.5,94,5.33,1.9,1312.67557,0.547,10.5
"1017",2009,66,1.76,94,101,24.9,94,5.17,2.1,186.76538,0.542,10.4
"1018",2008,63,1.78,93,82,24.2,92,4.85,2.2,1224.41554,0.53,9.8
"1019",2007,59.9,1.25,94,6,23.6,94,5.3,2.6,19.686718,0.519,9.1
"1020",2006,59.4,1.7,84,420,23,84,4.64,2.9,922.9351677,0.51,8.7
"1021",2005,58.9,1.5,84,435,22.4,85,4.51,3.1,498.172394,0.499,8.1
"1022",2004,58.3,1.46,8,60,21.8,81,3.96,3.2,423.1936389,0.491,7.7
"1023",2003,57.9,1.53,8,1939,21.2,8,3.12,3.4,373.2815537,0.489,7.9
"1024",2002,57.6,1.6,8,12289,2.7,8,3.7,3.5,39.484473,0.484,7.6
"1025",2001,57.4,1.49,NA,13476,2.1,81,3.56,3.5,273.6596668,0.485,8
"1026",2000,57.2,1.6,NA,23068,19.5,88,3,3.6,263.1124679,0.48,7.7
"1027",2015,81,NA,96,1,66.5,99,NA,0.1,187.78991,0.865,17.2
"1028",2014,88,7.53,96,1,66,99,8.8,0.1,21673.7817,0.862,17.2
"1029",2013,86,7.46,98,3,65.4,99,9.26,0.1,21874.8195,0.86,17.1
"1030",2012,84,8.2,98,3,64.9,99,9.24,0.1,22242.68193,0.858,16.8
"1031",2011,85,8.02,95,40,64.3,99,9.77,0.1,25916.29353,0.86,16.7
"1032",2010,83,9,95,149,63.7,99,9.18,0.1,26917.75898,0.859,16.4
"1033",2009,80,9.08,95,2,63.1,99,9.76,0.1,2971.973,0.857,16.2
"1034",2008,79.9,9.51,95,1,62.4,99,9.76,0.1,31997.2821,0.853,15.9
"1035",2007,79.4,9.67,95,2,61.8,99,9.41,0.1,28827.32636,0.855,16.4
"1036",2006,79.7,9.42,94,0,61.2,98,9.34,0.1,2481.15781,0.85,16.3
"1037",2005,79.3,9.95,93,122,6.5,96,9.36,0.1,22551.73574,0.839,15.6
"1038",2004,79.2,9.56,92,1,59.9,95,8.3,0.1,21955.149,0.83,15.3
"1039",2003,79.1,9.46,92,0,59.2,93,8.61,0.1,18477.57841,0.823,15.2
"1040",2002,79,8.09,91,5,58.6,92,8.72,0.1,1411.31339,0.811,14.6
"1041",2001,78.7,8.62,9,12,58,9,8.47,0.1,12538.17883,0.801,14.2
"1042",2000,78.2,8.48,89,56,57.4,89,7.6,0.1,1242.95373,0.794,13.9
"1043",2015,73.6,NA,92,0,48.4,99,NA,0.1,9212.192824,0.751,15.8
"1044",2014,73.5,8.42,97,0,47.4,81,6.1,0.1,8569.776998,0.749,15.8
"1045",2013,73.3,8.25,97,0,46.5,98,6.15,0.1,7955.615985,0.746,15.8
"1046",2012,73.1,8.07,97,0,45.6,98,6.36,0.1,7583.1872,0.744,15.8
"1047",2011,72.9,7.84,94,0,44.7,95,6.35,0.1,741.48438,0.741,15.8
"1048",2010,72.6,7.91,97,0,43.9,94,6.41,0.1,7365.666659,0,15.8
"1049",2009,72.4,8.42,99,0,43.1,99,6.24,0.1,7395.88125,0,15.6
"1050",2008,72.1,8.92,99,0,42.4,99,5.76,0.1,7946.944346,0,15.4
"1051",2007,71.9,9.06,96,0,41.8,96,5.88,0.1,7322.596862,0,15.3
"1052",2006,71.7,9.06,91,0,41.1,91,5.99,0.1,6764.722867,0,15.1
"1053",2005,71.5,8.8,99,0,4.5,99,5.5,0.1,6754.512393,0,14.9
"1054",2004,73,8.43,83,0,39.9,84,5.24,0.1,5836.17763,0,14.8
"1055",2003,71.1,9.75,97,0,39.4,98,5.89,0.1,5773.73577,0,14.6
"1056",2002,79,10.71,98,0,38.8,98,6.67,0.1,5292.232379,0,14.4
"1057",2001,77,9.61,96,0,38.2,96,7.67,0.1,519.958715,0,14.3
"1058",2000,74,9.4,NA,0,37.7,97,6.62,0.1,5117.589923,0,14.1
"1059",2015,71.9,NA,74,0,5.6,9,NA,0.4,3923.573344,0.637,10.7
"1060",2014,71.7,1.88,73,0,49.9,65,6.2,0.4,3687.763767,0.614,10.7
"1061",2013,71.4,1.93,85,0,49.3,84,6.3,0.4,3452.828934,0.611,10.7
"1062",2012,71.3,2.02,96,0,48.6,94,6.33,0.4,3299.65139,0.616,10.6
"1063",2011,71.1,2.16,88,0,47.9,88,6.28,0.4,3187.845296,0.609,10.5
